Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Assessment centre > Procedural metrics > Process durations,152.0,3,Verbal interview duration,口头访谈时长,完成访谈所用的时间,501317.0,610244.0,Complete,Integer,seconds,Data,Auxiliary,Both sexes,Defined (4),No,,Time taken for interview,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3,"610,244 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,4,Biometrics duration,生物测量时长,参与者在评估中心生物测量站完成测试所用的时间,497966.0,618476.0,Complete,Integer,seconds,Data,Auxiliary,Both sexes,Defined (4),No,,Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4,"618,476 items of data are available, covering 497,966 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,5,Sample collection duration,样本采集时长,参与者在评估中心完成静脉采血站所用的时间（包含准备时间，因此长于实际采血时间）,500995.0,623544.0,Complete,Integer,seconds,Data,Auxiliary,Both sexes,Defined (4),No,,Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=5,"623,544 items of data are available, covering 500,995 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,6,Conclusion duration,结束阶段时长,参与者在评估中心完成最后结束阶段所用的时间,498999.0,621431.0,Complete,Integer,seconds,Data,Auxiliary,Both sexes,Defined (4),No,,This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=6,"621,431 items of data are available, covering 498,999 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Physical measures > Bone-densitometry of heel,100018.0,19,Heel ultrasound method,跟骨超声检测方法,跟骨超声骨密度检测使用的方法,324548.0,324548.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (1),No,100260.0,Method used for the Ultrasound Bone Densitometry of heel,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=19,"324,548 items of data are available, covering 324,548 participants, encoded using Data-Coding 100260.Defined-instances run from 0 to 0, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,21,Weight method,体重测量方法,标识体重是通过机器直接录入/人工录入、仅人工测量或未测量的状态,500522.0,622219.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,100261.0,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21,"622,219 items of data are available, covering 500,522 participants, encoded using Data-Coding 100261.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Spirometry,100020.0,23,Spirometry method,肺活量测定方法,肺活量检测方法,460045.0,523490.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,100270.0,Spirometry method,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23,"523,490 items of data are available, covering 460,045 participants, encoded using Data-Coding 100270.Defined-instances run from 0 to 3, labelled using Instancing 2."
Population characteristics > Baseline characteristics,100094.0,31,Sex,性别,参与者性别（招募时来自中央登记系统，部分案例由参与者自行更新，可能包含NHS记录性别和自报性别的混合数据）,502150.0,502150.0,Complete,Categorical single,,Data,Primary,Both sexes,Singular,No,9.0,"Sex of participant. Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31,"502,150 items of data are available, covering 502,150 participants, encoded using Data-Coding 9."
Population characteristics > Baseline characteristics,100094.0,33,Date of birth,出生日期,参与者出生日期（来自中央登记系统，可由参与者更新。该字段仅在特殊情况下对研究人员开放，建议优先使用出生月份[字段52]和出生年份[字段34]）,502150.0,502150.0,Complete,Date,,Data,Primary,Both sexes,Singular,No,,"Date of birth (DOB) of participant. Acquired from central registry, updated by participant. This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth ( Field 52 ) and Year of Birth ( Field 34 ) instead.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=33,"502,150 items of data are available, covering 502,150 participants."
Population characteristics > Baseline characteristics,100094.0,34,Year of birth,出生年份,参与者出生年份（来自中央登记系统，可由参与者更新）,502150.0,502150.0,Complete,Integer,years,Data,Primary,Both sexes,Singular,No,,"Year of birth of participant. Acquired from central registry, updated by participant.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=34,"502,150 items of data are available, covering 502,150 participants.Units of measurement are years."
