Column,UDI,UDI_url,Count,Type,Description,Description_url,Download_date,Variable_name,Variable_Type,Length,Start_pos,End_pos
0,eid,,502492,Sequence,Encoded anonymised participant ID,,2020-11-26,n_eid,8.,8,1,8
1,3-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3,501629,Integer,Verbal interview duration,,2020-11-26,n_3_0_0,5.,5,9,13
2,3-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3,20334,Integer,Verbal interview duration,,2020-11-26,n_3_1_0,5.,5,14,18
3,3-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3,43260,Integer,Verbal interview duration,,2020-11-26,n_3_2_0,5.,5,19,23
4,3-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3,2957,Integer,Verbal interview duration,,2020-11-26,n_3_3_0,5.,5,24,28
5,4-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4,497029,Integer,Biometrics duration,,2020-11-26,n_4_0_0,6.,6,29,34
6,4-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4,20333,Integer,Biometrics duration,,2020-11-26,n_4_1_0,5.,5,35,39
7,4-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4,47505,Integer,Biometrics duration,,2020-11-26,n_4_2_0,5.,5,40,44
8,4-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4,3201,Integer,Biometrics duration,,2020-11-26,n_4_3_0,5.,5,45,49
9,5-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5,501276,Integer,Sample collection duration,,2020-11-26,n_5_0_0,6.,6,50,55
10,5-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5,20335,Integer,Sample collection duration,,2020-11-26,n_5_1_0,5.,5,56,60
11,5-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5,48241,Integer,Sample collection duration,,2020-11-26,n_5_2_0,5.,5,61,65
12,5-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5,3190,Integer,Sample collection duration,,2020-11-26,n_5_3_0,5.,5,66,70
13,6-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6,498094,Integer,Conclusion duration,,2020-11-26,n_6_0_0,7.,7,71,77
14,6-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6,20333,Integer,Conclusion duration,,2020-11-26,n_6_1_0,5.,5,78,82
